name,birth,death,start,end
Rana Sanga,12 April 1484,17 March 1527,13 April 1509,17 March 1527
Udai Singh,4 August 1540,28 February 1572,17 March 1540,28 February 1572
Maharana Pratap ,9 May 1540,19 January 1597,28 February 1572,19 January 1597
